;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abEs;;;;;;;;;;
1;abandonner;;;;;abâdOn6rô;;;;;;;;;;;;abâdOnE;;;;;;abâdOn;;;;;;;;;;;;;;;;;abâdOnE;;;;;;
2;abattre;;;;;;;;;;;;;;;;;abatr;;;;;;;;;;;;;;;aba;;;;;;;;abaty;;;;;;
3;aboutir;;;;;;;;;;;;;;;;;abutir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;abriter;;;;;;;;;;;;;;;;abritE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;abréger;;;;;;;;;;;;;;;;;abrEZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;accepter;;;;;;;;;;;;;;;;;;;;;;;;aksEptâ;;;;;;;;;;;;aksEpt;;;;;;;;;;
7;accommoder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akOmOd;;;;;;;;;;
8;accompagner;;;;;;;;;;;;;;;;;;;;;;;akôpaJ;;;;;;;;;;;;;;;;;;;akôpaJ;;;;
9;accomplir;;;;;;;;;;;;;;;;;akôplir;;;;;;;;;;;;;;;;;;;;;akôpli;;;;;;;;
10;accorder;;;;;;;;;;;;;;;;;;;;;;;akOrd;;;;;;;;;;;;;;;;;;;;;;;akOrd
11;accrocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akrOSE;;;;;akrOSE;;;;;;;;
12;accueillir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ak9j;;;;;;;;;;;;;;
13;accumuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akymylE;;;;;;;;;
14;accuser;;;;;;;;;;;;;;;;;akyzE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;acheter;;;;;;;;;;;;;;;;;aS6tE;;;;;aS6tE;aSEt;;;;;;;;;aSEt;;;;aSEt;aS6tE;;;;;;;;;
16;achever;;;;;;;;;;;;;;;;;aS6vE;;;;;;;;;;;;;;;;;;;aSEv;;;;;;;;;;
17;adapter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adapt;;;;;;;;;;
18;adjoindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZwê;;;;;;
19;admettre;;;;;;;;;;;;;;;;;admEtr;;;;;;admE;admEtâ;;;;;;;;;;;;admE;;;;;;;;;;
20;admirer;;;;;;;;;;;;;;;;admirE;;;;;;;;;;;;;;;;;;;;admir;;;;;;;;;;
21;adopter;;;;;;;;;;;;;;;;adOptE;;;;;;;;;;;;;;;;;;;;;;;;adOptE;;;;;;
22;adorer;;;;;;;;;;;;;;adOrE;;;;;;;;;adOr;;;;;;;;;;;;;adOr;;;;;;;;;;
23;adoucir;;;;;;;;;;;;;;;;adusisE;adusir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;adresser;;;;;;;;;;;;;;;;adrEsE;adrEsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adrEs
25;affaisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afEs;;;;;;;;;;
26;affecter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afEktE;;;;;;;;;;;;;
27;affirmer;;;;;;;;;;;;;;;;;;;;;;;afirm;;;;;;;;;;;;;;;;;;;;;;;
28;affliger;;;;;;;;;;;;;;;afliZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;affronter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afrôt;;;;;;;;;;
30;agacer;;;;;;;;;;;;;;;;;agasE;;;;;;;;;;;;;;;;;;;;;;;agasE;;;;;;
31;agenouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aZ6nuj;;;;;;;;;;
32;aggraver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrav;;;;;;;;;;
33;agir;;;;aZi;;;;;;;;;;;;;;;;;;;;;;;;;;aZirE;;;;aZi;;aZi;;;;;;;;;;
34;agiter;;;;;;;;;aZit6rô;;;;;;;;aZitE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;aider;;;;;;Ed6rE;;;;;;;;;EdE;;EdE;;;;;EdE;Ed;;;;;;;;;Ed;EdE;;;Ed;;;;EdE;;Ed;;;;Ed
36;aimer;;;;;;Em6rE;;;Em6rô;;;EmE;EmjE;EmE;;EmE;EmE;;;;;EmE;Em;;Em6rjô;Em6rE;;Em6rE;;;Emô;Em;;Em;Em;Em;;EmE;;EmE;;Em;;Em;;Em
37;ajouter;;;;;;;;;;;;;;;;aZutE;;;;;;;aZut;;;;;aZut6rE;;;;;;;;;;;;aZutE;;;;;;aZut
38;aligner;;;;;;;;;;;;aliJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;aller;;;;ala;;;irE;;;ira;;alE;aljE;alE;;alE;alE;;;;alô;alE;va;;irjô;;;;;irE;alô;vE;alE;va;vô;va;;alE;;alE;;aj;;;;aj
40;allier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aljE;;;;;;
41;allonger;;;;;;;;;;;;;;;;;alôZE;;;;;;;;;;;;;;;;;;;;;alôZE;;alôZE;;;;;;
42;allumer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alym;alymE;;;;;;;;;;;;;
43;alléger;;;;;;;;;;alEZ6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;amasser;;;;;;;;;;;;;;;;;;;;;;;;amasâ;;;;;;;;;;;;;;;;;;;;;;
45;amener;;;;;;;;;;;;;;;;;;;;;;;amEn;;;;;;;;;;;;;;;;;am6nE;;amEn;;amEn;;amEn
46;amuser;;;;;;;;;;;;;amyzjE;;;;amyzE;;;;;;;;;;;;;;;;;amyz;amyz;amyz;;;;;;;;;;amyz
47;animer;;;;;;;;;;;;;;;;;;;;;;;anim;;;;;;;;;;;;;;;;;;;;;;;
48;annoncer;;;;;;;;;;;;;;anôsE;;anôsE;;;;;;;;;;;;;;;;;;;;;;;;anôsE;;;;;;
49;annuler;;;;;;;;;;;;;;;;;anylE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;anéantir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anEâti;anEâti;;;;;;
51;apaiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apEz;;;;;;;;;;
52;apercevoir;;;;;;;;;;;;;;;;apErs6vE;apErs6vwar;;;;;;;;;;;apErs6vrE;;;;apErswa;;apErswa;;;;;apErsy;;;;;;;
53;aplanir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aplani;;;;;;
54;apparaître;;;;;;;;;;;;;;;;;aparEtr;;;;;;;;;;;;;;;;;;;;;apary;apary;;;;;;;
55;apparenter;;;;;;;;;;;;;;;;aparâtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;appartenir;;;;;;;;;;;;;;;;apart6nE;;;;;;;;;;;;;;;;;;;;apartjê;;;;;;;;;;
57;appeler;;;;ap6la;;;;;;;;;;ap6lE;;ap6lE;ap6lE;;;;;ap6lE;apEl;;;;;;;;;apEl;ap6lE;apEl;;apEl;;;;ap6lE;;apEl;;;;apEl
58;applaudir;;;;aplOdi;;aplOdirE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;appliquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aplik;;;;;;;;;;
60;apporter;;;;;;;;;;;;;;;;apOrtE;apOrtE;;;;;apOrtE;;;;;;;;;;apOrt;;;;apOrt;;;apOrtE;;;;;;;apOrt
61;apprendre;apri;apri;;;;;;;;;;;;;;apr6nE;aprâdr;;;;;;;;;;;;;;;;apr6nE;;;aprâ;;;;;;;;;;
62;apprivoiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aprivwaz;;;;;;;;;;;;;;
63;approcher;;;;;;;;;;;;;;;;aprOSE;aprOSE;;;;;aprOSE;;;;;;;;;;;aprOSE;;;aprOS;;;;;;;;aprOS;;
64;approuver;;;;;;;;;;;;;;;;;apruvE;;;;;;;;;;;;;;;apruv;;;;;;;;;;;;;;
65;apprécier;;;;;;;;;;;;;;;;;;;;;;;aprEsi;;;;;;;;;aprEsi;;;;;;;;;;;;;;
66;apprêter;;;;aprEta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;appuyer;;;;;;;;;;;;;;;;;;;;;;;apHi;;;;;;;;;;;;;;;;;;;;;;;
68;arranger;;;;;;;;;arâZ6rô;;;;;;;arâZE;arâZE;;;;;;arâZ;;;;;;;arâZ6rE;;arâZ;;;;arâZ;;;;arâZE;;;;;;
69;arriver;;;;ariva;;;;;;ariv6ra;;arivE;;;arivE;arivE;arivE;;;;;;ariv;;;;;;;;;ariv;;;ariv;ariv;;arivE;;arivE;;ariv;;;;ariv
70;arrêter;;;;arEta;;;;;;arEt6ra;;;;arEtE;;arEtE;arEtE;;;;;arEtE;arEt;;;;;;;;;arEt;arEtE;arEt;;arEt;;;arEtE;arEtE;;arEt;;;;arEt
71;articuler;;;;artikyla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;assaillir;;;;;;;;;;;;;;;;;;;;;;;;asajâ;;;;;;;;;;;;;;;;;;;;;;
73;asseoir;asi;asi;;asi;;;;;;;;;;;;asEjE;aswar;;;;;asEjE;asjE;;;;;;;;;asjE;asEjE;;;asjE,aswa;asiz;asiz;;;;;;;;
74;assombrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asôbri;;;;;;;;;;
75;assoupir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asupi;;;;;;
76;assumer;;;;;;;;;;;;;;;;;asymE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;assurer;;;;;;;;;;;;;;;;;asyrE;;;;;;;;;;;;;;;;;;;asyr;;;;;;;;;;asyr
78;attaquer;;;;;;;;;;;;;;;;;;;;;;;atak;;;;;;;;;atak;;;;atak;;;;;;;;;atak;atak
79;atteindre;;;;;;;;;;;;;;;;;;;;;atEJô;;;;;;;;;;;;;;;atê;;;;atê;;;;;;
80;attendre;;;;atâdi;;atâdrE;;;;;atâdjô;atâdE;;atâdE;;atâdE;atâdr;;;;;atâdE;atâ;;;;;;;;atâdô;atâ;atâdE;atâ;atâd;atâ;;;;atâdy;;;;;;
81;attirer;;;;;;;;;;;;;;;;atirE;atirE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;attraper;;;;;;;;;;;;;;;;;atrapE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atrap
83;augmenter;;;;;;;;;;;;;;;;;OgmâtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;autoriser;;;;;;;;;;;;;;;;;;;;;;;OtOriz;;;;;;;;;;;;;;;;;;;;;;;
85;avaler;;;;;;;;;;aval6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;avancer;;;;avâsa;;;;;;;;;;;;;;;;;;;avâs;avâsâ;;;;;;;;;;;;avâs;;;;;;;;;;
87;avertir;;;;;;;;;;;;;;;;;avErtir;;;;;;;;;;;;;;;avErti;;avErti;;;;;;;;;;;;
88;aveugler;;;;;;;;;;;;;;;;;;;;;;;av9gl;;;;;;;;;;;;;;;;;;;;;;;
89;avoir;;;;y;Orô;OrE;OrE;Ora;Orô;Ora;avjô;avE;;avE;avE;avE;avwar;;;;;EjE;E;;;OrE;;;;;avô;E;avE;a;ô;a;;;y;y;;;EjE;;;
90;avouer;;;;;;;;;;;;;;;;;avuE;;;;;avuE;;;;;;;;;;;;;;;;;;;;;;;;
91;avérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;avEr;;;;;;;;;;
92;badigeonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;badiZOn;;;;;;;;;;;;;;
93;baigner;;;;;;;;;;;;;;;bEJE;;;;;;;;bEJ;;;;;;;;;;;;;bEJ;;;;;;;;;;
94;baiser;;;;;;;;;;;;;;;;;bEzE;;;;;;bEz;;;;;;;;;;;;;;;;;;;;;bEz;;
95;baisser;;;;;;;;;;;;;;;;;;;;;;;bEs;;;;;;;;;;;;;;;;;;;;;;;
96;balader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;balad;;
97;balancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;balâs;;;;;;;;;;;;;;
98;balbutier;;;;balbysja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;baptiser;;;;;;;;;;;;;;;;;batizE;;;;;;;;;;;;;;;;;;;;;;batizE;;;;;;;batiz
100;barrer;;;;;;;;;;;;;;;;;barE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;basculer;;;;;;;;;;;;;;;;;baskylE;;;;;;;;;;;;;;;baskyl;;;;;;;;;;;;;;
102;battre;;;;;;;;;;;;;;;;;batr;;;;;;;;;;;;;;;;;;;ba;;baty;;;;;;;;
103;bichonner;;;;;;;;;;;;;;;;;;;;;;;;biSOnâ;;;;;;;;;;;;;;;;;;;;;;
104;biffer;;;;;;;;;;;;;;;;;;;;;;;bif;;;;;;;;;;;;;;;;;;;;;;;
105;blasphémer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blasfEm;;;;;;;;;;
106;blesser;;;;;;;;;;;;;;;;;blEsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;bloquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blOkE;;;;;;
108;boire;;;;;;;;;;;;;;;;;bwar;;;;;;;;;;;bwarE;;;byvô;;;;;;;;;by;;;;;;
109;bosser;;;;;;;;;;;;;;;;;;;;;;;bOs;;;;;;;;;bOs;;bOs;;;;;;;;;;;;
110;boucher;;;;;;;;;;;;;;;;;buSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;bouffer;;;;;;;;;;;;;;;;;bufE;;;;;;;;;;;;;;;;;;;;;;;bufE;;;;;;
112;bouger;;;;;;;;;;;;;;;;buZE;;;;;;;buZ;;;;;;;;;buZ;;;;buZ;;;;buZE;;;;;;
113;bouillir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bu;;;;;;;;;;
114;bouleverser;;;;;;;;bul6vErs6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;bourrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bur;;;;;;;;;;
116;bousculer;;;;;;;;;;;;;;;;;buskylE;;;;;;;buskylâ;;;;;;;;;;;;;;;;buskylE;;;;;;
117;bousiller;;;;;;;;;;;;;;buzijE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;brandir;;;;;;;;;;;;;;;;;;;;;;;;brâdisâ;;;;;;;;;;;;;;;;;;;;;;
119;brasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;brasE;;;;;;
120;bredouiller;;;;br6duja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;briser;;;;;;;;;;;;;;;;brizE;;;;;;;;;;;;;;;;;;;;;;;brizE;;;;;;;
122;brosser;;;;;;;;;;;;;;;;;brOsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;brûler;;;;;;;;;;;;;;;;;;;;;;brylE;bryl;;;;;;;;;bryl;;;;bryl;;;;brylE;;;;;;bryl
124;buter;;;;;;;;;;;;;;;;;;;;;;;;bytâ;;;;;;;;;;;;;;;;;;;;;;
125;bâtir;;;;;;;;;;;;;;;;;batir;;;;;;;;;;;;;;;;;;;;;bati;;;;;;;;
126;bénir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bEni;;bEnis;;;;
127;bénéficier;;;;;;;;;;;;;;;bEnEfisjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;cabosser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kabOsE;;;;;;
129;caboter;;;;;;;;;;;;;;;;kabOtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;cacher;;;;;;;;;;;;kaSE;;;;;kaSE;;;;;;kaS;;;;;;;;;kaS;kaSE;;;;;;;;;kaS;;kaS;;kaS
131;cadenasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kad6nasE;;;;;;;;
132;calculer;;;;;;;;;;;;;;;;;kalkylE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;calmer;;;;;;;;;;kalm6ra;;;;;;;kalmE;;;;;kalmE;;;;;;;;;;;kalmE;;;kalm;;;;;;kalm;;;;kalm
134;carder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kardE;;;;;;
135;caresser;;;;;;;;;;;;;;;;;karEsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;karEs
136;casser;;;;;;;;;;;;;;;;;;;;;;;kas;;;;;;;;;kas;;;;kas;;;;kasE;;kas;;;;kas
137;causer;;;;;;;;;;;;;;;;kOzE;;;;;;;;kOzâ;;;;;;;;kOz;;;;;;kOzE;;;;;;;;
138;cerner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sErnE;;;;;;
139;cesser;;;;;;;;;;;;;;;;;;;;;;sEsE;;;;;;;;;;sEs;sEsE;;;;;;;sEsE;;;;;;
140;changer;;;;;;;;;;;;;;;;;SâZE;;;;;;SâZ;;;;;;;;;;SâZE;;;SâZ;;;;SâZE;;SâZ;;;;
141;chanter;;;;;;;;;;;;;;;SâtE;;SâtE;;;;;;Sât;;;;;;;;;;;;;Sât;;;;;;;;;;
142;chantonner;;;;;;;;;;;;;;;;;SâtOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;charger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SarZ;;;;;;;;SarZE;;SarZ;;;;SarZ
144;charrier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sari;;;;;;;;;;;;;;
145;chasser;;;;Sasa;;;;;;;;;;;;;;;;;;;Sas;;;;;;;;;;;;;Sas;;;;;;;;;;
146;chauffer;;;;;;;;;;;;;;;;;SOfE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;chavirer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SavirE;;;;;;
148;chercher;;;;;;;;;;;;SErSE;;;;;SErSE;;;;;SErSE;SErS;;SErS6rjô;SErS6rE;;;;;;SErS;SErSE;SErS;;;;SErSE;;;;SErS;;;;SErS
149;chier;;;;;;;;;;;;;;;;;SjE;;;;;;;;;;;;;;;Si;;;;;;;;;;;;;;
150;choir;;;;;;;;;;;;;;;;;Swar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;choisir;;;;;;;;;;;;;;;;;Swazir;;;;;SwazisE;Swazi;;;;;;;;;;;Swazi;;;;;;Swazi;;;;;;
152;chuchoter;;;;SySOta;;;;;;;;;;;;;;;;;;;SySOt;SySOtâ;;;;;;;;;;;;SySOt;;;;;;;;;;
153;chuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Syt;;;;;;;;;;;;;;
154;claquer;;;klakEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;klak;;;;klak;;;;;;;;;;
155;cogiter;;;;;;;;;;;;;;;;;kOZitE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;cogner;;;;;;;;;;;;;;;;;kOJE;;;;;;;;;;;;;;;;;;;kOJ;;;;;;;;;;
157;coincer;;;;;;;;;;;;;;;;;;;;;;kwêsE;;;;;;;;;;;;;;;;kwêsE;;;;;;;;
158;collaborer;;;;;;;;;;;;;;;;;kOlabOrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;coller;;;;;;;;;;;;;;;;kOlE;;;;;;;;;;;;;;;;;;;;;;;;kOlE;;;;;;
160;colporter;;;;;;;;;;;;;;;;kOlpOrtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;combattre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôbaty;;;;;;
162;commander;;;;;;;;;;;;;;;;;kOmâdE;;;;;;kOmâd;;;;;;;;;kOmâd;;;;kOmâd;;;;;;;;;;kOmâd
163;commencer;;;;kOmâsa;;;;;;;;;;;;kOmâsE;kOmâsE;;;;;;kOmâs;;;;;;;;;kOmâs;kOmâsE;kOmâs;kOmâs;kOmâs;;;;kOmâsE;;;;kOmâs;;kOmâs
164;commettre;;;;;;;;;;;;;;;;;;;;;;;kOmE;;;;;;;;;;;;;;;;;;;;;;;
165;comparer;;;;;;;;;;;;;;;;;kôparE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;complimenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôplimât;;;;;;;;;;;;;;
167;comporter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôpOrt;;;;;;;;;;
168;comprendre;kôpri;kôpri;;kôpri;;;;;;;;kôpr6nE;;kôpr6nE;;;kôprâdr;;;;;kôpr6nE;kôprâ;;;;;;;;;kôprâ;kôpr6nE;kôprâ;;kôprâ;kôpriz;;;;;;;;;
169;compter;;;;;;;;;;;;;;;;;;;;;;kôtE;kôt;;;;;;;;;kôt;kôtE;;kôt;kôt;;;;;;;;kôt;;
170;concerner;;;;;;;;;;;;;;;;kôsErnE;;;;;;;kôsErn;;;;;;;;;kôsErn;;;;kôsErn;;;;;;;;;;
171;concevoir;;;;;;;;;;;;kôs6vE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;conclure;;;;kôkly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôkly;;;;;;;
173;condamner;;;;kôdana;;;;;;;;;;;;kôdanE;;;;;;;;;;;;;;;;;;;;;kôdanE;;;;;;;;;
174;conduire;;;;;;;;;;;;;;;;kôdHizE;;;;;;;;;;;;;;;;kôdHi;;;kôdHiz;kôdHi;;;;kôdHi;;;;;;
175;confesser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôfEs;;;;;;;;;;
176;confirmer;;;;;;;;;;;;;;;;;kôfirmE;;;;;;kôfirm;;;;;;;;;;;;;kôfirm;;;;;;;;;;
177;confondre;;;;;;;;;;;;;;kôfôdE;kôfôdE;kôfôdE;;;;;;;;;;;;;;kôfôdrE;;;;;;;;;;;;kôfôd;;;;
178;congédier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôZEdjE;;;;;;;;;
179;connaître;;;;;;;;;;;;;kOnEsjE;kOnEsE;;kOnEsE;kOnEtr;;;;kOnEsô;kOnEsE;kOnE;;;;;;;;;kOnE;kOnEsE;kOnE;kOnEs;kOnE;;;;kOny;;;kOnEsjE;;;
180;consacrer;;;;;;;;;;;;;;;;kôsakrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;consentir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôsâ;;;;;;;;;;
182;considérer;;;;;;;;;;;;;;;;;kôsidErE;;;;;kôsidErE;kôsidEr;;;;;;;;;;;;;kôsidEr;kôsidErE;;;kôsidErE;;;;;;
183;consister;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôsist
184;consoler;;;;;;;;;;;;;;;;;;;;;;;kôsOl;;;;;;;kôsOl6rE;;;;;;;;;;;;;;;;
185;consommer;;;;;;;;;;;;;;;;;kôsOmE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;constater;;;;;;;;;;;;;;;;;;;;;;;kôstat;kôstatâ;;;;;;;;kôstat;;;;;;;;;;;;;;
187;constituer;;;;;;;;;;;;;;;kôstityE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;construire;;;;;;;;;;;;;;;;;kôstrHir;;;;;;;;;;;;;;;;;;kôstrHiz;kôstrHi;;;;kôstrHi;;;;;;
189;consulter;;;;;;;;;;;;;;;;;;;;;;kôsyltE;;;;;;;;;;;;;;;;;;kôsyltE;;;;;;
190;contempler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtâpl;;;;;;;;;;
191;contenir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtjEn;;;;
192;contenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtâtE;;;;;;
193;conter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôt;
194;continuer;;;;;;;;;;kôtinyra;;;;;;kôtinyE;kôtinyE;;;;;;kôtiny;;;;;;;;kôtinyô;;kôtinyE;;;;;;;kôtinyE;;;;kôtiny;;kôtiny
195;contredire;;;;;;;;;;;;;;;;;kôtr6dir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;contrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtr;;;;;;;;;;;;;;
