;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
197;contrôler;;;;;;;;;;;;;;;;kôtrOlE;kôtrOlE;;;;;;;;;;;;;;;;;;;;;;kôtrOlE;;;;;;;kôtrOl
198;convaincre;;;;;;;;;;;;;;;;;kôvêkr;;;;;;;;;;;;;;;;;kôvê;;;;;;kôvêky;;;;;;
199;convenir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôvjê;;;;;;;;;;
200;convertir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôvErti;;;;;;
201;convoquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôvOkE;;;;;;;
202;coopérer;;;;;;;;;;;;;;;;;kOOpErE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;corser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOrsE;;;;;;;;
204;coter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOtE;;;;;;
205;coucher;;;;;;;;;;;;kuSE;;kuSE;;kuSE;kuSE;;;;;;kuS;;;;;;;;;kuS;;;;kuS;;;;;;;;;;kuS
206;coudre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kuzy;;;;;;;
207;couler;;;;;;;;;;;;;;;;kulE;;;;;;;kul;;;;;;;;;kul;;;;;;;;kulE;;;;;;kul
208;couper;;;;;;;;;;;;;;;;kupE;;;;;;;;;;;;;;;;;;;;;;;;kupE;;kup;;;;
209;courir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kur;kur;;;;;;;;;;;
210;courtiser;;;;;;;;;;;;;;kurtizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;couvrir;;;;;;;;;;kuvrira;;;;;;kuvrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;coïncider;;;kOêsidEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;coûter;;;;;;;;;;;;;;;;;;;;;;;kut;;;;;;;;;kut;;;kut;kut;;;;;;;;;;
214;cracher;;;;;;;;;;;;;;;;;;;;;;;kraS;;;;;;;;;;;;;;;;;;;;;;;
215;craindre;;;;;;;;;;;;;;;;;;;;;;;krê;;;;krêdriE;;;;;krê;;krê;;krê;;;;krê;;;;;;
216;cramer;;;;;;;;;;;;;;;;;kramE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;craquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krak;;;;;;;;krakE;;;;;;
218;creuser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kr6zE;;;;;;;;;
219;crever;;;;;;;;;;;;;;;;;;;;;;;krEv;;;;;;;;;;;;;;;;;;;;;;;
220;crier;;;;krja;;;;;;;;;;;;;kriE;;;;;;kri;kriâ;;;;;;;;kri;;kri;;;;;;;;;;kri;;
221;croire;;;;;;;;;;;;krwajE;;krwajE;;krwajE;krwar;;;;;krwajE;krwa;;;;;;;krwarE;;krwa;krwajE;krwa;;krwa;;;;kry;;;;;;
222;croître;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krwas;;;;;;;;;;;
223;créer;;;;;;;;;;;;;;;;;;;;;;;krE;;;;;;;;;;;;;;krEE;;;;;;;;;
224;cueillir;;;;;;;;;;;;;;;;;k6jir;;;;;;;;;;;;;;;;;;;k9j;;;;k6ji;;;;;;
225;céder;;;;;;;;;;;;;;;;;sEdE;;;;;;;;;;;;;;;sEd;;;;;;;;sEdE;;;;;;
226;célébrer;;;;;;;;;;;;;;;;;;;;;sElEbrô;;sElEbr;;;;;;;;;;;;;;;;;;;;;;;
227;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;;;;;;;;;
228;danser;;;;;;;;;;;;;;dâsE;;;dâsE;;;;;;dâs;;;;;;;;;dâs;;;;;;;;dâsE;;;;dâs;;dâs
229;dater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dat;;;dat;;;;;;;;;;;
230;demander;d6mâdE;;d6mâdEr;;;;;;;;;;;d6mâdE;;;d6mâdE;;;;;;d6mâd;;;;;;;;;d6mâd;d6mâdE;;;d6mâd;;;d6mâdE;d6mâdE;;d6mâd;;;;d6mâd
231;demeurer;;;;;;;;;;;;;;;;d6m6rE;;;;;;;d6m9r;;;;;;;;;;;;;;;;;;;;;;;
232;descendre;;;;dEsâdi;;;;;;;;;;;;;dEsâdr;;;;dEsâdô;;dEsâ;;;;;;;;;dEsâ;;dEsâ;dEsâd;dEsâ;;;dEsâdy;;;;;;;
233;devenir;;;;d6vê;;;;d6vjêdra;;d6vjêdra;;d6v6nE;;;;d6v6nE;d6v6nir;;;;;;;;;;;;;;;;;d6vjê;;d6vjê;d6v6ny;d6v6ny;;d6v6ny;;d6vjEn;;;;
234;deviner;;;;;;;;;;;;;;;;d6vinE;;;;;;;d6vin;;;;;;;;;;;;;;;;;;;;;;;
235;devoir;;;;dy;;;d6vrE;;d6vrô;d6vra;;d6vE;;;;d6vE;;;;;d6vô;d6vE;dwa;d6vâ;;d6vrE;d6vriE;d6vrE;;d6vrE;d6vô;dwa;d6vE;dwa;dwav;dwa;;;;dy;;;;;dwav;dwav
236;dicter;;;;;;;;;;;;;;;;;;;;;;;dikt;;;;;;;;;dikt;;;;;;;;;;;;;;
237;diffuser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;difyzE;;;;;;;;
238;dire;di;;;di;;dirE;;;;dira;;dizE;;dizE;;dizE;dir;;;;dizô;dit;di;;;;;dirE;;dirE;dizô;di;dit;di;diz;di;dit;;;di;;diz;;;diz;diz
239;diriger;;;;;;;;;;;;diriZE;;;;;;;;;;;;;;;;;;;;diriZ;;;;diriZ;;;;;;;;;;
240;discerner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;disErn;;;;;;;;;;;;;;
241;discipliner;;;;;;;;;;;;;;;disiplinE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;discuter;;;;;;;;;;diskyt6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;disparaître;;;;dispary;;;;;;;;;;;;;disparEtr;;;;;;;;;;;;;;;;;;disparEs;;;dispary;;dispary;;disparEs;;;;
244;disposer;;;;;;;;;;;;;;;;dispOzE;;;;;;;;;;;;;;;;;;;;dispOz;;;;;;;;;;
245;disputer;;;;;;;;;;;;;;;;;;;;;;;;dispytâ;;;;;;;;;;;;;;;;;;;;;;
246;dissimuler;;;;;;;;;;;;;;disimylE;;;;;;;;;;;;;;;;;;disimyl;;;;;;;;;;;;;;
247;dissiper;;;;;;;;;;;;;;;;;;;;;;;;disipâ;;;;;;;;;;;;;;;;;;;;;;
248;distiller;;;;;;;;;;;;;;;;;distilE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;distinguer;;;;;;;;;;;;;;;;;distêgE;;;;;;;;;;;;;;;;;;;;;;;distêgE;;;;;;
250;distraire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;distrE;;;;;;
251;divorcer;;;;;;;;;;;;;;;;;divOrsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;dominer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dOmin;;;;;;;;;;
253;donner;;;;dOna;;;;;dOn6rô;;;;;;dOnE;dOnE;dOnE;;;;;dOnE;dOn;;;;;;;;;dOn;;dOn;;dOn;dOnE;dOnE;;dOnE;;dOn;;;dOn;dOn
254;dormir;;;;dOrmi;;;;;;;;;;;dOrmE;;dOrmir;;;;;dOrmE;;;;;;;;;;dOr;;dOr;;dOr;;;;;;;;;dOrm;
255;doubler;;;;;;;;;;;;;;;;;dublE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;douer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;duE;;;;;;;;
257;douter;;;;;;;;;;;;;;;;;;;;;;dutE;dut;;;;;;;;;dut;;;;dut;;;;;;;;;;
258;dresser;;;;;;;;;;;;;;;;;drEsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;droguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;drOgE;;;;;;;;;;;;;
260;durer;;;;;;;;;;;;;;;;dyrE;;;;;;;;;;;;;;;;dyr;;;;dyr;;;;;;;;;;
261;dynamiter;;;;;;;;;;;;;;;;;dinamitE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;débarquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbark;;;;;;;;;;
263;débarrasser;;;;;;;;;;;;;;;;;dEbarasE;;;;;;dEbaras;;;;;;;;;;;;;;;;;;;;;;;
264;déborder;;;;;;;;;;;;;;;;;;;;;;;;dEbOrdâ;;;;;;;;;;;;;;;;dEbOrdE;;;;;;
265;déboucher;;;;;;;;;;;;;;;;;dEbuSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;déboutonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbutOnE;;;;;;;;
267;débrouiller;;;;;;;;;;;;;;;;;dEbrujE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;déchaîner;;;;;;;;;;;;;;;;dESEnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;déchirer;;;;;;;;;;;;;;;;;;;;;;;;dESirâ;;;;;;;;;;;;;;;;;;;;;;
270;décider;;;;;;;;;;;;;;;;;dEsidE;;;;;;;;;;;;;;;dEsid;;dEsid;;;;;;dEsidE;;;;;;dEsid
271;décimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsimE;;;;;;
272;déclarer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEklarE;;;;;;
273;déclencher;;;;dEklâSa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;décliner;;;;;;;;;;;;;;;;dEklinE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;décoller;;;;;;;;;;;;;;dEkOlE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;déconner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOn;;;;;;;;;;;;;;
277;déconseiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôsEjE;;;;;;
278;décorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOrE;;;;;;;;
279;décortiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOrtik;;;;;;;;;;
280;découcher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkuS;;;;;;;;;;;;
281;découper;;;;;;;;;;;;;;;;;;;;;;;;dEkupâ;;;;;;;;;;;;;;;;;;;;;;
282;décourager;;;;;;;;;;;;;;;;;dEkuraZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;découvrir;;;;;;;;;;;;;;;;dEkuvrE;dEkuvrir;;;;;;dEkuvr;dEkuvrâ;;;;;;;;;;;;;;;;;;;;;;
284;décrire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkrivE;;;;;;;;;;;;;
285;décroiser;;;;;;;;;;;;;;;;;;;;;;;dEkrwaz;;;;;;;;;;;;;;;;;;;;;;;
286;dédier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEdi;;;;;;;;;;;;;;
287;défaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfE;;;;;;;;;;
288;défendre;;;;;;;;;;;;;;;;;dEfâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;défiler;;;;;;;;;;;;;;;;dEfilE;dEfilE;;;;;;;;;;;;;;;dEfil;;;;;;;;;;;;;;
290;défoncer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfôs;;;;;;;;;;
291;dégager;;;;;;;;;;;;;;;;;;;;;;dEgaZE;dEgaZ;;;;;;;;;dEgaZ;dEgaZE;;;dEgaZ;;;;;;;;;;dEgaZ
292;dégainer;;;;;;;;;;;;;;;;;dEgEnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;dégoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgOt;;;;;;;;;;;;;;
294;dégouliner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgulin;;;;;;;;;;
295;dégoûter;;;;;;;;;;;;;;;;dEgutE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;déguster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgyst;;;;;;;;;;;;;;
297;déjeuner;;;;;;;;;;;;;;;;;dEZ6nE;;;;;;;;;;;;;;;dEZ9n;;;;;;;;;;;;;;
298;délivrer;;;;;;;;;;;;;;;;;dElivrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;démarrer;;;;;;;;;;;;;;;;;dEmarE;;;;;;;;;;;;;;;;dEmarE;;;;;;;;;;;;;
300;démontrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmôtrE;;;;;;
301;dénoncer;;;;;;;;;;;;;;;;;dEnôsE;;;;;;;;;;;;;;;;;;dEnôs;dEnôs;;;;;;;;;;
302;dénuder;;;;;;;;;;;;;;;;;dEnydE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;dépasser;;;;;;;;;;;;;;;;;;;;;;;dEpas;;;;;;;;;;;;;;;;;;;;;;;
304;dépendre;;;;;;;;;;;;;;;;dEpâdE;;;;;;;;;;;;;;;;;;dEpâ;;;;;;;;;;;;
305;dépenser;;;;;;;;;;;;;;;;;dEpâsE;;;;;;;;;;;;;;;;;;;;;;;dEpâsE;;;;;;
306;déplacer;;;;;;;;;;;;;;;;dEplasE;;;;;;;dEplas;;;;;;;;;;;;;;;dEplasE;;;;;;;;dEplas
307;déplaire;;;;;;;;;;;;;;;;dEplEzE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;déplorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEplOr;;;;;;;;;;;;;;
309;déposer;;;;dEpOza;;;;;;;;;;;;;;;;;;;dEpOz;;;;;;;;;;;;;;;;;;;;;;;
310;dépêcher;;;;;;;;;;;;;;;;;;;;;;;dEpES;;;;;;;;;dEpES;;;;;;;;;;;;;;
311;dérailler;;;;;;;;;;;;;;;;;dErajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;déranger;;;;;;;;;;;;;;;;;dErâZE;;;;;;dErâZ;;;;;;;;;;;;;dErâZ;;;;;;;;;;
313;dériver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEriv;;;;;;;;;;
314;dérouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dErulE;;;;;;
315;désamorcer;;;;;;;;;;;;;;;;;dEzamOrsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;désespérer;;;;;;;;;;;;;;;;;dEzEspErE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;désigner;;;;;;;;;;;;;;;;;;;;;;;;dEziJâ;;;;;;;;dEziJ;;;;;;;;dEziJE;;;;;;
318;désirer;;;;;;;;;;;;;;;;dEzirE;;;;;;;;;;;;;;dEzir6rE;;dEzir;;dEzir;dEzir;;;;;;;;;;;
319;désoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzOlE;;dEzOlE;;;;;;
320;détacher;;;;;;;;;;;;;;;;dEtaSE;;;;;;;;;;;;;;;;dEtaS;;;;;;;;;;;;;;
321;détendre;;;;;;;;;;;;;;;;;;;;;;dEtâdE;;;;;;;;;;;;;;;;;;dEtâdy;;;;;;
322;détester;;;;;;;;;;;;;;;;;;;;;;;dEtEst;;;;;;;;;dEtEst;;;;;;;;;;dEtEst;;dEtEst;;dEtEst
323;détourner;;;;;;;;;;;;;;;;;;;;;;;dEturn;;;;;;;;;;;;;;;;;;;;;;;
324;détruire;;;;;;;;;;;;;;;;;dEtrHir;;;;;;;;;;;;;;;;;;;;;dEtrHit;;;;;;;;
325;développer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEv6lOpE;;;;;;;;
326;déverser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEvErs;;;;;;;;;;;
327;dévier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEvjE;;;;;;;;
328;dévoiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEvwalE;;;;;;;
329;dévorer;;;;;;;;;;;;;;;;;dEvOrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;dîner;;;;dina;;;;;;;;;;;;;dinE;;;;;;;;;;;;;;;din;;;;;;;;;;;;;;
331;effacer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Efas;;;;;;;;;;
332;emballer;;;;;;;;;;;;;;;;;âbalE;;;;;;;;;;;;;;;;;âbal;;âbal;;;;;;;;;;
333;embarrasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âbarasE;;;;;;;;;
334;embaucher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âbOSE;;âbOSE;;;;;;
335;embrasser;;;;âbrasa;;;;;;;;âbrasE;;;;;âbrasE;;;;;;;;;;;;;;;âbras;;;;;;;;;;âbras;;;;âbras
336;embêter;;;;;;;;;;;;;;;;;âbEtE;;;;;;âbEt;;;;;;;;;;;;;âbEt;;;;;;;;;;
337;emmener;;;;;;;;;;;;;;;;;âm6nE;;;;;âm6nE;;;;;;;;;;âmEn;;;;;;âm6nE;;âm6nE;;;;;;âmEn
338;emmerder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âmErd;;;;âmErd;;;;;;;;;;
339;emplir;;;;;;;;;;;;;;;;;âplir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;employer;;;;;;;;;;;;;;;;;;;;;;;;âplwajâ;;;;;;;;âplwa;;;;;;;;;;;;;;
341;emporter;;;;;;;;;;;;;;;;;;;;;;;;âpOrtâ;;;;;;;;âpOrt;;;âpOrt;;;âpOrtE;;;;;;;;âpOrt
342;empresser;;;;âprEsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;emprunter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âprûtE;;;;;;
344;empêcher;;;;;;;;;;;;;;;;;;;;;;;âpES;âpESâ;;;;;;;;;;;;âpES;;;;âpESE;;;;;;
345;enchanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âSâtE;;;;;;
346;encourager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âkuraZ;;;;;;;;;;
347;enculer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âkyl;;;;;;;;;;
348;endormir;;;;;;;;;;;;;;;;;âdOrmir;;;;;;;;;;;;;;;;;;;;;;âdOrmi;;;;;;;
349;enfanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âfâtE;;;;;;
350;enfermer;;;;;;;;;;;;;;;;âfErmE;;;;;;;;;;;;;;;;;;;âfErm;âfErm;;;;âfErmE;;;;;;
351;enfiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âfil;;;;;;;;;;;;;;
352;enfoncer;;;;;;;;;;;;âfôsE;;;;;âfôsE;;;;;;âfôs;;;;;;;;;;;;;;;;;âfôsE;;;;;;
353;enfourcher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âfurS;;;;;;;;;;;;;;
354;enfreindre;;;;;;;;;;;;;;;;âfrEJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;enfuir;;;;âfHi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;engager;;;;;;;;;;;;;;;;;;;;;âgaZô;;;;;;;;;;;;;;;;;;;âgaZE;;;;;;
357;engloutir;;;;âgluti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;enjoindre;âZwaJi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;enlever;;;;;;;;;;;;;;;;;âl6vE;;;;;;;;;;;;;;;âlEv;;;;;;;;;;;;;;âlEv
360;ennuyer;;;;;;;;;;;;;;;ânHiE;;;;;;;;ânHi;ânHiâ;;;;;;;;ânHi;;;;;;;;ânHiE;;ânHi;;;;
361;enrager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âraZ;;;;;;;;;;;;;;
362;enrichir;;;;;;;;;;;;;;;;;âriSir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;enrouler;;;;;;;;;;;;;;;;;ârulE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;ensauvager;;;;;;;;;;;;;;;;âsOvaZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;enseigner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âsEJ;;;;;;;;;;
366;entendre;;;;;;;;;;;;;;;;;âtâdr;;;;;âtâdE;âtâ;;;;;;;;;âtâ;âtâdE;âtâ;;âtâ;;;âtâdy;âtâdy;;;;;;
367;enterrer;;;;;;;;;;;;;;;;;;;;;;;âtEr;;;;;;;;;;;;âtEr;;;;;;;;;;;âtEr
368;entortiller;;;;;;;;;;;;;;;;;;;;;;;âtOrtij;;;;;;;;;;;;;;;;;;;;;;;
369;entourer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âturE;;;;;;
370;entraîner;;;;;;;;;;;;;;;;;âtrEnE;;;;;;;;;;;;;;;;;;;;;;;âtrEnE;;;;;;âtrEn
371;entreprendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âtr6prEn;;;;;;;;;;;
372;entrer;;;;;;;;;;;;;;;;;âtrE;;;;;;âtr;;;;;;;;âtrô;âtr;âtrE;;;âtr;;;âtrE;;;;;;;âtr
373;entrevoir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âtr6vy;;;;;;;
374;entêter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âtEt;;;;;;;;;;;;;;
375;envahir;;;;;;;;;;;;;;;;âvaisE;;;;;;;;;;;;;;;;;;;;;;âvai;;âvai;;;;;;
376;envelopper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âv6lOp;;;;;;;;;;;
377;envier;;;;;;;;;;;;;;;;;;;;;;;âvi;;;;;;;;;;;;;;;;;;;;;;;
378;envisager;;;;;;;;;;;;;;;;;âvizaZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;envoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âvOl;;;;;;;;;;
380;envoyer;;;;;;;;;;;;;;;;;âvwajE;;;;âvwajô;âvwajE;âvwa;;;;;;;;;âvwa;;;;âvwa;;;âvwajE;âvwajE;;âvwa;;;;âvwa
381;espérer;;;;;;;;;;;;;;EspErE;;;;;;;;;EspEr;EspErâ;;;;;;;;EspEr;;;;EspEr;;;;;;EspEr;;;;
382;esquiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eskiv;;;;;;;;;;
383;essayer;;;;;;EsErE;;;;;;;EsEjE;;;;EsEjE;;;;;;EsE,EsEj;EsEjâ;;;;EsEj6rE;;;;EsE,EsEj;EsEjE;;;EsE;;;;EsEjE;;;;;;EsE
384;estimer;;;;;;;;;;;;;;;;;;;;;;;Estim;;;;;;;;;Estim;;;;;;;;;;;;;;
385;estomper;;;;;;;;;;;;;;;;EstôpE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
386;exalter;;;;Egzalta;;;;;;;;;;;;;;;;;;;;;;;;;;;;Egzalt;;;;;;;;;;;;;;
387;examiner;;;;Egzamina;;;;;;;;;;;;;;;;;;;;Egzaminâ;;;;;;;Egzaminô;;;;;;;;;;;;;;;
388;exciter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eksit;;;;;;;;;;
389;exclamer;;;;;;;;;;;;;;;;EsklamE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;excuser;;;;;;;;;;;;;;;;;;;;;;EkskyzE;Ekskyz;;;;;;;;;Ekskyz;EkskyzE;;;Ekskyz;;;;EkskyzE;;;;;;Ekskyz
391;exercer;;;;;;;;;;;;;;;;EgzErsE;;;;;;EgzErsE;;;;;;;;;;;;;;;;;;EgzErsE;;;;;;
392;exhaler;;;;Egzala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;exister;;;;;;;;;;;;;;;;EgzistE;;;;;;;Egzist;;;;;;;;;;;;;Egzist;;;;;;;;;;Egzist
394;expier;;;;;;;;;;;;;;;;;EkspjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;expliquer;;;;;;;;;;Esplik6ra;;;;;;;EsplikE;;;;;;Esplik;;;;;;;;;Esplik;;;;Esplik;;;;;;Esplik;;;;Esplik
396;exploser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EsplOz;;;;;;;;;;;;;;
397;exposer;;;;;;;;;;;;;;;;;EkspOzE;;;;;;;;;;;;;;;;EkspOzE;;;EkspOz;;;;;;;;;;
398;exprimer;;;;;;;;;;;;;;;;;;;;;;;Esprim;;;;;;;;;;;;;;;;;;;;;;;
399;extirper;;;;Ekstirpa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;faciliter;;;;;;;;;;;;;;;;;fasilitE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
